mean,label
113.149,1
118.181,1
128.279,0
110.073,1
111.004,1
125.807,0
112.305,1
121.508,1
113.109,1
118.305,1
124.683,0
123.499,0
125.118,0
117.081,1
130.237,0
115.494,1
122.048,0
117.783,1
101.328,1
125.064,0
120.01,1
126.454,0
109.847,1
112.206,1
117.771,1
123.803,0
93.235,1
116.484,1
117.485,1
112.646,1
125.495,0
111.061,1
119.747,1
114.276,1
131.328,0
105.303,1
131.758,0
121.319,1
114.0,1
127.12,0
128.433,0
124.077,0
129.444,0
124.628,0
96.063,1
124.332,0
107.981,1
122.775,0
119.341,1
108.479,1
114.604,1
116.214,1
119.321,1
108.471,1
120.705,1
115.602,1
124.332,0
114.824,1
123.165,0
115.584,1
123.941,0
117.503,1
118.466,1
116.042,1
129.567,0
121.84,1
112.15,1
123.348,0
113.826,1
123.411,0
122.947,0
120.207,1
105.539,1
126.032,0
116.658,1
129.642,0
113.695,1
116.187,1
111.263,1
101.57,1
125.967,0
129.407,0
131.219,0
128.362,0
99.147,1
130.102,0
114.299,1
112.252,1
109.03,1
127.957,0
117.318,1
123.625,0
106.857,1
98.232,1
125.938,0
123.294,0
115.806,1
121.488,1
123.034,0
104.804,1
114.569,1
128.342,0
124.314,0
113.196,1
110.819,1
117.249,1
113.228,1
125.72,0
127.955,0
126.815,0
129.337,0
114.973,1
122.025,0
108.311,1
121.962,0
127.572,0
117.908,1
123.336,0
125.872,0
114.215,1
104.531,1
112.483,1
117.391,1
115.306,1
118.844,1
125.785,0
123.014,0
129.651,0
122.31,0
126.07,0
126.528,0
126.207,0
118.72,1
122.808,0
113.354,1
123.174,0
115.418,1
120.071,1
121.651,1
128.316,0
121.148,1
124.699,0
114.882,1
117.978,1
126.18,0
114.887,1
90.631,1
111.427,1
121.682,1
126.555,0
124.046,0
112.874,1
125.807,0
115.883,1
121.054,1
126.454,0
133.008,0
116.491,1
118.27,1
113.914,1
116.152,1
118.138,1
118.148,1
112.828,1
113.379,1
121.612,1
124.734,0
114.967,1
113.456,1
112.205,1
115.164,1
125.385,0
116.832,1
112.688,1
124.916,0
118.759,1
123.738,0
123.435,0
128.506,0
123.806,0
98.985,1
121.545,1
123.657,0
116.618,1
129.423,0
118.434,1
124.932,0
112.479,1
124.196,0
125.629,0
121.661,1
123.982,0
109.076,1
130.516,0
122.367,0
118.422,1
126.273,0
96.474,1
108.085,1
114.565,1
128.421,0
116.542,1
126.142,0
128.855,0
113.433,1
124.205,0
118.102,1
127.795,0
127.742,0
122.18,0
117.859,1
123.91,0
115.749,1
113.723,1
128.576,0
127.848,0
117.619,1
112.164,1
124.863,0
121.947,0
121.019,1
114.924,1
113.424,1
119.909,1
121.717,1
109.479,1
118.27,1
128.148,0
112.242,1
116.356,1
122.579,0
126.34,0
127.196,0
109.496,1
113.44,1
124.696,0
121.902,1
126.753,0
119.006,1
126.147,0
120.789,1
124.854,0
94.641,1
117.358,1
116.22,1
117.043,1
126.572,0
128.628,0
130.809,0
131.133,0
126.788,0
92.136,1
125.601,0
123.776,0
99.951,1
129.957,0
119.774,1
129.809,0
118.849,1
120.747,1
112.456,1
118.738,1
119.096,1
100.773,1
116.904,1
116.663,1
125.042,0
114.621,1
97.073,1
114.78,1
115.931,1
117.111,1
114.801,1
127.846,0
121.335,1
126.708,0
130.515,0
130.329,0
124.878,0
123.541,0
118.977,1
120.896,1
117.063,1
119.018,1
112.022,1
116.443,1
100.298,1
127.885,0
127.983,0
112.479,1
112.106,1
123.99,0
115.346,1
125.294,0
105.487,1
120.317,1
123.245,0
119.832,1
118.328,1
127.331,0
115.18,1
109.54,1
114.624,1
125.928,0
118.517,1
126.772,0
130.276,0
113.548,1
112.701,1
101.826,1
127.827,0
123.78,0
130.511,0
128.034,0
126.048,0
118.824,1
104.111,1
126.973,0
124.506,0
124.77,0
127.83,0
123.748,0
112.45,1
115.728,1
122.656,0
120.769,1
125.269,0
128.955,0
115.106,1
130.637,0
121.334,1
116.536,1
114.905,1
126.44,0
126.812,0
124.439,0
124.966,0
118.453,1
113.845,1
112.61,1
127.962,0
125.241,0
103.417,1
115.175,1
123.085,0
124.188,0
127.35,0
115.978,1
118.16,1
126.623,0
129.287,0
120.464,1
118.395,1
114.949,1
118.096,1
127.934,0
128.679,0
128.159,0
110.813,1
127.456,0
110.216,1
117.744,1
116.154,1
115.002,1
113.578,1
123.031,0
114.596,1
108.6,1
117.406,1
118.915,1
127.893,0
97.718,1
112.254,1
128.416,0
132.21,0
124.665,0
128.069,0
110.889,1
104.712,1
125.668,0
126.467,0
110.712,1
124.141,0
123.343,0
83.187,1
123.608,0
110.209,1
120.211,1
109.004,1
127.049,0
122.249,0
113.365,1
115.41,1
107.046,1
116.902,1
129.637,0
127.326,0
110.237,1
110.394,1
128.547,0
125.294,0
124.633,0
123.678,0
117.348,1
115.015,1
106.014,1
125.94,0
119.199,1
