mean,label
109.176,1
122.282,0
125.701,0
124.75,0
117.122,1
126.616,0
127.593,0
112.339,1
127.384,0
120.308,1
119.343,1
127.489,0
108.077,1
122.635,0
125.745,0
122.058,0
115.738,1
112.073,1
127.018,0
113.745,1
126.346,0
119.34,1
125.799,0
101.426,1
126.124,0
128.92,0
107.268,1
125.002,0
120.014,1
128.174,0
111.353,1
130.3,0
128.952,0
127.004,0
115.89,1
117.337,1
120.444,1
128.0,0
113.239,1
90.144,1
112.977,1
118.346,1
111.485,1
115.719,1
103.359,1
109.217,1
116.187,1
124.01,0
125.001,0
126.177,0
114.203,1
104.45,1
118.104,1
118.541,1
127.474,0
120.697,1
126.588,0
127.165,0
112.728,1
127.683,0
115.828,1
126.668,0
106.835,1
128.947,0
98.244,1
114.23,1
126.59,0
127.58,0
125.509,0
125.41,0
127.284,0
123.546,0
119.827,1
117.671,1
122.778,0
123.943,0
115.007,1
107.794,1
114.797,1
118.354,1
118.635,1
128.561,0
112.862,1
102.25,1
114.142,1
126.632,0
114.24,1
124.801,0
111.596,1
126.207,0
118.558,1
125.986,0
127.6,0
116.82,1
120.961,1
124.654,0
116.087,1
121.044,1
132.016,0
115.07,1
125.093,0
124.967,0
121.59,1
117.31,1
128.507,0
129.296,0
114.708,1
127.317,0
126.402,0
126.022,0
86.396,1
115.999,1
113.158,1
115.344,1
108.505,1
123.483,0
124.426,0
116.318,1
110.377,1
120.783,1
88.751,1
125.064,0
119.821,1
109.525,1
122.55,0
127.528,0
127.484,0
125.12,0
127.083,0
120.326,1
114.261,1
97.847,1
122.403,0
111.192,1
117.489,1
109.893,1
116.47,1
90.657,1
105.453,1
118.919,1
129.25,0
117.975,1
124.913,0
125.951,0
124.808,0
119.702,1
128.452,0
110.06,1
115.656,1
120.804,1
130.862,0
111.021,1
111.122,1
117.539,1
130.671,0
107.178,1
114.835,1
116.33,1
125.321,0
100.253,1
127.317,0
116.302,1
128.779,0
104.341,1
123.982,0
116.864,1
114.377,1
126.27,0
125.77,0
121.321,1
116.895,1
126.459,0
123.953,0
124.987,0
125.641,0
125.962,0
106.922,1
109.327,1
125.921,0
120.51,1
110.452,1
116.858,1
115.629,1
113.269,1
129.171,0
131.735,0
116.051,1
124.835,0
116.001,1
109.006,1
129.547,0
118.932,1
124.061,0
126.624,0
115.944,1
119.949,1
111.202,1
126.543,0
108.804,1
96.246,1
124.41,0
112.842,1
121.372,1
121.195,1
131.741,0
118.556,1
132.62,0
116.706,1
127.308,0
119.901,1
127.961,0
125.064,0
117.901,1
128.011,0
118.969,1
110.408,1
114.697,1
120.768,1
120.072,1
110.173,1
126.032,0
128.649,0
128.267,0
128.49,0
123.948,0
112.188,1
118.162,1
127.263,0
128.103,0
127.74,0
115.417,1
119.531,1
125.292,0
125.534,0
128.569,0
125.132,0
124.859,0
113.49,1
124.132,0
124.356,0
110.861,1
119.175,1
124.164,0
124.689,0
109.038,1
116.924,1
119.065,1
109.835,1
126.812,0
122.794,0
120.915,1
116.99,1
102.758,1
120.546,1
127.892,0
117.449,1
125.479,0
121.455,1
115.779,1
126.853,0
118.315,1
108.448,1
105.489,1
123.072,0
123.137,0
112.554,1
113.837,1
126.68,0
120.503,1
120.42,1
113.595,1
124.629,0
126.867,0
117.09,1
107.528,1
85.586,1
104.133,1
115.47,1
125.213,0
115.747,1
131.74,0
109.216,1
111.658,1
110.507,1
112.283,1
119.424,1
132.674,0
129.35,0
128.057,0
120.932,1
127.305,0
126.89,0
114.178,1
123.8,0
110.903,1
126.546,0
116.949,1
117.501,1
117.465,1
123.985,0
115.426,1
113.886,1
113.992,1
110.178,1
115.381,1
90.276,1
116.362,1
99.489,1
127.884,0
117.228,1
128.893,0
126.776,0
112.86,1
127.219,0
120.237,1
108.445,1
125.323,0
128.556,0
112.064,1
125.977,0
116.299,1
116.161,1
127.533,0
114.332,1
111.092,1
116.527,1
127.283,0
127.983,0
112.91,1
118.869,1
129.87,0
119.683,1
121.839,1
117.808,1
122.467,0
125.652,0
111.728,1
129.123,0
120.67,1
126.128,0
128.912,0
129.734,0
129.499,0
120.827,1
120.127,1
124.382,0
126.539,0
113.874,1
110.771,1
121.34,1
119.947,1
116.274,1
130.343,0
129.013,0
113.674,1
104.089,1
118.701,1
127.793,0
125.234,0
128.537,0
112.377,1
111.646,1
129.12,0
126.679,0
124.463,0
115.529,1
114.936,1
130.945,0
112.02,1
121.135,1
132.443,0
115.393,1
133.165,0
125.676,0
127.319,0
129.052,0
122.896,0
111.299,1
108.861,1
123.425,0
128.345,0
123.779,0
115.946,1
123.792,0
110.847,1
114.773,1
116.15,1
120.676,1
108.58,1
122.911,0
114.742,1
127.779,0
115.34,1
129.658,0
117.67,1
127.077,0
113.156,1
117.493,1
125.231,0
126.291,0
119.781,1
125.295,0
114.987,1
120.7,1
117.299,1
119.943,1
126.146,0
122.212,0
113.207,1
116.242,1
121.76,1
123.782,0
121.787,1
123.635,0
126.723,0
127.459,0
128.243,0
117.097,1
120.439,1
117.501,1
102.951,1
123.258,0
118.641,1
123.756,0
115.761,1
123.787,0
108.102,1
128.314,0
122.639,0
112.753,1
122.266,0
116.886,1
125.636,0
124.141,0
111.151,1
121.808,1
111.49,1
125.85,0
111.651,1
121.756,1
116.134,1
113.04,1
115.436,1
122.383,0
114.082,1
123.936,0
130.904,0
131.688,0
128.445,0
121.217,1
129.658,0
117.308,1
120.783,1
120.227,1
115.41,1
129.339,0
128.137,0
118.291,1
107.583,1
108.154,1
128.416,0
125.877,0
125.135,0
111.702,1
124.857,0
111.414,1
101.152,1
127.754,0
118.989,1
122.468,0
123.121,0
117.533,1
131.158,0
130.581,0
112.758,1
118.336,1
120.247,1
118.408,1
132.36,0
112.445,1
117.382,1
122.266,0
118.094,1
118.013,1
112.354,1
124.156,0
120.678,1
126.775,0
126.222,0
113.041,1
127.201,0
123.82,0
118.484,1
115.677,1
119.23,1
117.632,1
115.564,1
102.628,1
119.315,1
122.27,0
130.192,0
96.116,1
124.669,0
118.832,1
114.75,1
115.538,1
121.582,1
124.007,0
126.244,0
112.14,1
125.888,0
128.147,0
118.48,1
